arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,1,11.543718814849854,11.642076015472412,11.592897415161133,-3.1353509426116943
ER+MC,1,1,12.431248664855957,12.552602291107178,12.491925477981567,-4.022880792617798
ER+EI,1,1,11.470902442932129,11.553529262542725,11.512215852737427,-3.0625345706939697
