arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,1,-3.724149903282523,16.201790869235992,6.238820482976735,28.292928179726005
ER+MC,1,1,18.824904918670654,17.190985769033432,18.007945343852043,5.743873357772827
ER+EI,1,1,23.500895261764526,19.138923943042755,21.31990960240364,1.067883014678955
