arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,1,28.45817470550537,26.22411060333252,27.341142654418945,-1.8329706192016602
ER+MC,1,1,29.472318649291992,26.63976287841797,28.05604076385498,-2.8471145629882812
ER+EI,1,1,29.19024085998535,26.553507804870605,27.87187433242798,-2.5650367736816406
Fine-tune,4,1,28.45817470550537,26.22411060333252,27.341142654418945,-1.8329706192016602
ER+MC,4,1,29.580368995666504,26.691216468811035,28.13579273223877,-2.955164909362793
ER+EI,4,1,29.25180435180664,26.704883575439453,27.978343963623047,-2.6266002655029297
