arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,1,22.16911792755127,28.35267925262451,25.26089859008789,2.5765304565429688
ER+MC,1,1,24.430402755737305,27.271366119384766,25.850884437561035,0.3152456283569336
ER+EI,1,1,24.70917797088623,25.38913631439209,25.04915714263916,0.03647041320800781
