arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,3,11.11754846572876,15.000935554504395,13.059242010116577,14.082927227020264
ER+MC,1,3,22.25245761871338,13.772429466247559,18.01244354248047,2.9480180740356445
ER+EI,1,3,24.473989486694336,16.053014755249023,20.26350212097168,0.7264862060546875
