arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,1,22.16911792755127,28.35267925262451,25.26089859008789,2.5765304565429688
ER+MC,1,1,24.430402755737305,27.271366119384766,25.850884437561035,0.3152456283569336
ER+EI,1,1,24.70917797088623,25.38913631439209,25.04915714263916,0.03647041320800781
Fine-tune,4,1,22.16911792755127,28.35267925262451,25.26089859008789,2.5765304565429688
ER+MC,4,1,24.418928146362305,25.149187088012695,24.7840576171875,0.3267202377319336
ER+EI,4,1,25.012099266052246,23.009925842285156,24.0110125541687,-0.2664508819580078
