arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,4,1,19.05079174041748,19.267406463623047,19.159099102020264,-13.96630573272705
ER+MC,4,1,18.923022270202637,19.14220905303955,19.032615661621094,-13.838536262512207
