arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,1,-0.13251566886901855,12.209124565124512,6.038304448127747,25.170785665512085
ER+MC,1,1,17.85027313232422,11.842089176177979,14.846181154251099,7.187996864318848
ER+EI,1,1,24.19102954864502,14.742060661315918,19.46654510498047,0.8472404479980469
Fine-tune,1,2,13.28260850906372,5.2749316692352295,9.278770089149475,12.034105777740479
ER+MC,1,2,24.71568202972412,15.48251724243164,20.09909963607788,0.6010322570800781
ER+EI,1,2,24.891294479370117,16.444250106811523,20.66777229309082,0.42541980743408203
Fine-tune,1,3,11.11754846572876,15.000935554504395,13.059242010116577,14.082927227020264
ER+MC,1,3,22.25245761871338,13.772429466247559,18.01244354248047,2.9480180740356445
ER+EI,1,3,24.473989486694336,16.053014755249023,20.26350212097168,0.7264862060546875
