
=== arm=finetune N_buf=4 seed=1 device=cpu tiny=False n_train=6 gate=E supervised=False cross_ip=True T1=knee/gaussian/4x T2=ct/Tomography/20 ===
Power iteration converged at iteration 9, value=1236.31
/home/ubuntu/.local/lib/python3.12/site-packages/deepinv/transform/rotate.py:47: UserWarning: The default interpolation mode will be changed to bilinear interpolation in the near future. Please specify the interpolation mode explicitly if you plan to keep using nearest interpolation.
  warn(
The model has 187019 trainable parameters
Train epoch 98: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 99: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 100: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 101: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 102: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 103: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 104: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 105: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 106: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 107: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 108: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 109: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 110: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 111: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 112: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 113: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 114: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 115: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 116: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 117: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 118: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 119: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 120: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 121: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 122: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 123: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 124: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 125: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 126: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 127: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 128: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 129: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 130: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 131: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 132: MCLoss=0.0, EILoss=0.0, TotalLoss=0.001
Train epoch 133: MCLoss=0.0, EILoss=0.0, TotalLoss=0.001
Train epoch 134: MCLoss=0.0, EILoss=0.0, TotalLoss=0.001
Train epoch 135: MCLoss=0.0, EILoss=0.0, TotalLoss=0.001
Train epoch 136: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 137: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 138: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 139: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 140: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 141: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 142: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 143: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 144: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 145: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 146: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 147: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 148: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 149: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 150: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 151: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 152: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 153: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 154: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 155: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 156: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 157: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 158: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
Train epoch 159: MCLoss=0.0, EILoss=0.0, TotalLoss=0.0
{
  "arm": "Fine-tune",
  "N_buf": 4,
  "seed": 1,
  "PSNR_T1": 22.455810546875,
  "PSNR_T2": 27.007675170898438,
  "Avg": 24.73174285888672,
  "Fgt": 2.2898378372192383
}
buffer: {
  "N_buf": 4,
  "n_distinct_ya": 4,
  "n_distinct_A": 4,
  "holds_t1_A": true,
  "accels": [
    4,
    4,
    4,
    4
  ],
  "slots": [
    {
      "slot": 0,
      "y_id": "c991212198bf",
      "mask_id": "658b2e826b6a"
    },
    {
      "slot": 1,
      "y_id": "1f3d769d36a0",
      "mask_id": "8810346c1e3e"
    },
    {
      "slot": 2,
      "y_id": "3ed003237198",
      "mask_id": "9cd3dd990f17"
    },
    {
      "slot": 3,
      "y_id": "a3001b0416fb",
      "mask_id": "e2c537b8814c"
    }
  ]
}

Wrote /workspace/experiments/cvpr_stage0_er_ei/recorded_smoke/stage0b_gate_E/metrics_nbuf4_seed1.csv
Wrote /workspace/experiments/cvpr_stage0_er_ei/recorded_smoke/stage0b_gate_E/metrics_nbuf4_seed1.json
go/kill: {
  "verdict": "INCONCLUSIVE",
  "reason": "Need ER+EI and ER+MC Fgt at the evaluated N_buf values.",
  "comparisons": [],
  "n_buf_observed": [
    4
  ],
  "grid_complete": false,
  "tiny": false,
  "note": "Go/kill is defined on Fgt after T2 (lower is better). Tiny stubs must not be labeled GO/KILL."
}
forgetting_gate: {
  "verdict": "PASS",
  "Fgt": 2.2898378372192383,
  "min_fgt": 0.2,
  "clearly_positive": true,
  "reason": "Fine-tune Fgt=2.2898 > 0.2 (need a clear T1 PSNR drop after T2)."
}
device=cpu elapsed_sec=832.3
