arm,N_buf,seed,PSNR_T1,PSNR_T2,Avg,Fgt
Fine-tune,1,1,-3.724149903282523,16.201790869235992,6.238820482976735,28.292928179726005
ER+MC,1,1,18.824904918670654,17.190985769033432,18.007945343852043,5.743873357772827
ER+EI,1,1,23.500895261764526,19.138923943042755,21.31990960240364,1.067883014678955
Fine-tune,1,2,12.998830407857895,10.712961092591286,11.85589575022459,11.739291042089462
ER+MC,1,2,23.59572011232376,18.340829014778137,20.96827456355095,1.1424013376235962
ER+EI,1,2,24.38420283794403,19.147178202867508,21.76569052040577,0.3539186120033264
Fine-tune,1,3,10.91469857096672,17.559559017419815,14.237128794193268,13.457971006631851
ER+MC,1,3,21.826296091079712,18.502342760562897,20.164319425821304,2.54637348651886
ER+EI,1,3,23.764356791973114,18.481699526309967,21.12302815914154,0.6083127856254578
